Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action),Group,Group Description,Resource
StateID,State-assigned investigation identification code,,Core Data,Questions that appear in the electronic initial case report and so don't need to be captured in the supplemental data.,Basic
Year,Current year (new),,Core Data,Questions that appear in the electronic initial case report and so don't need to be captured in the supplemental data.,Basic
State,State of residence,,Core Data,Questions that appear in the electronic initial case report and so don't need to be captured in the supplemental data.,Basic
County,County of residence,,Core Data,Questions that appear in the electronic initial case report and so don't need to be captured in the supplemental data.,Basic
Week,Week of report (new),,Core Data,Questions that appear in the electronic initial case report and so don't need to be captured in the supplemental data.,Basic
OnsetDate,Date of onset of symptoms consistent with arboviral infection,,Symptomatic,Questions related to whether the patient shows any symptoms or is asymptomatic,Questionnaire
ImportedFrom,Likely location of acquisition of arboviral infection,,Transmission Method,Questions related to the source from which the patient acquired the disease.,Questionnaire
CountryOfOrigin,Country in which infection was likely acquired,,Transmission Method,Questions related to the source from which the patient acquired the disease.,Questionnaire
StateOfOrigin,State in which infection was likely acquired,,Transmission Method,Questions related to the source from which the patient acquired the disease.,Questionnaire
ForeignResident,(New),,Travel and Immigration History,Questions related to a patient's travel or immigration history.,Questionnaire
Arbovirus,Type of arboviral infection,,Basic Questions,Questions related to the disease or patient that do not fit within any more specific category,Questionnaire
CaseStatus,Case classification according to CDC/CSTE surveillance case definitions,,Core Data,Questions that appear in the electronic initial case report and so don't need to be captured in the supplemental data.,Basic
Age,Age at time of case investigation,,Core Data,Questions that appear in the electronic initial case report and so don't need to be captured in the supplemental data.,Basic
AgeUnit,Age units,,Core Data,Questions that appear in the electronic initial case report and so don't need to be captured in the supplemental data.,Basic
BirthDate,Date of Birth,,Core Data,Questions that appear in the electronic initial case report and so don't need to be captured in the supplemental data.,Basic
Sex,Current sex,,Core Data,Questions that appear in the electronic initial case report and so don't need to be captured in the supplemental data.,Basic
Race,Race,,Core Data,Questions that appear in the electronic initial case report and so don't need to be captured in the supplemental data.,Basic
Ethnicity,Ethnicity,,Core Data,Questions that appear in the electronic initial case report and so don't need to be captured in the supplemental data.,Basic
ClinicalSyndrome,General clinical presentation,,Basic Questions,Questions related to the disease or patient that do not fit within any more specific category,Questionnaire
