Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action)
Specimen Number,A laboratory generated number that identifies the specimen related to this test.,
Date First Submitted,Date/time the notification was first sent to CDC.  This value does not change after the original notification.  ,
Case Outbreak indicator,Denotes whether the reported case was associated with an identified outbreak.,PHVS_YesNoUnknown_CDC
Source of Infection,"What is the source of infection from list ""naturally-acquired"", ""lab-aquired"", ""bioterrorism""",
Outbreak source,"If case outbreak indicator is ""Yes"", what was the common exposure source, including ""Food consumption"", ""Occupational exposure"", ""Recreational exposure"", ""Family"", ""Close contact"", ""Sexual contact""",
State Case ID,States use this field to link NEDSS investigations back to their own state investigations.,
Health care provider,Health care provider name,
Local Subject ID,The local ID of the subject/entity.,
Health care provider,Health care provider phone number,
Person Reporting to CDC - Name,Name of the person who is reporting the case to the CDC.  This is the person that CDC should contract in a state if there are questions regarding this case notification.,
Person Reporting to CDC - Phone Number,Phone Number of the person who is reporting the case to the CDC.  This is the person that CDC should contract in a state if there are questions regarding this case notification.,
Subject Address State,State of residence of the subject,PHVS_State_FIPS_5-2
Subject Address County,County of residence of the subject,PHVS_County_FIPS_6-4
Age at case investigation,Subject age at time of case investigation,
Age units at case investigation,Subject age units at time of case investigation,PHVS_AgeUnit_UCUM_NETSS
Subject's Sex,Subject's current sex,PHVS_Sex_MFU
Pregnancy status,Indicates whether the subject was pregnant at the time of the event.,PHVS_YesNoUnknown_CDC
Country of Birth ,Country of Birth,PHVS_CountryofBirth_CDC
Ethnic Group Code,Based on the self-identity of the subject as Hispanic or Latino ,PHVS_EthnicityGroup_CDC_Unk
Race Category,Field containing one or more codes that broadly refer to the subject's race(s).,PHVS_RaceCategory_CDC
Occupation,"Occupation of the case patient, from list ""Animal Research"", ""Medical Research"", ""Dairy"", ""Laboratory"", ""Wildlife"", ""Rancher"", ""Slaughterhouse"", ""Tannery/rendering"", ""Veterinarian/Vet Tech"", ""Lives w/person of with an occupation listed here"", ""Other""",
Case Class Status Code,"Status of the case/event as suspect, probable, confirmed, or not a case per CSTE/CDC/ surveillance case definitions.",PHVS_CaseClassStatus_NND
Stage of disease,"Stage of disease, inlcuding ""Acute"", ""Subacute"", ""Chronic"", ""Unknown""",
Fever,Did patient have a fever?,PHVS_YesNoUnknown_CDC
Fever onset date,Onset date of fatigue,
Maximum temperature,Maximum temperature reported ,
Temperature Units,Specify fahrenheit or celsius,PHVS_TemperatureUnit_UCUM
Sweats,Experienced sweats,PHVS_YesNoUnknown_CDC
Sweats onset date,Onset date of sweats,
arthralgia,Experienced arthralgia?,PHVS_YesNoUnknown_CDC
arthragia onset date,Onset date of arthralgia,
headache,Experienced headache,PHVS_YesNoUnknown_CDC
headache onset date,Onset date of headache,
Fatigue,Experienced fatigue,PHVS_YesNoUnknown_CDC
Fatigue date of onset,Onset date of fatigue,
Anorexia,Experienced anorexia,PHVS_YesNoUnknown_CDC
Anorexia Onset date,Onset date of anorexia,
Myalgia,Experienced myalgia,PHVS_YesNoUnknown_CDC
Myalgia onset date,Onset date of myalgia,
weight loss,Experienced weight loss,PHVS_YesNoUnknown_CDC
weight loss onset date,Onset date of weight loss,
endocarditis,Experienced endocarditis?,PHVS_YesNoUnknown_CDC
endocarditis onset date,Onset date of endocarditis,
Orchitis,Experienced orchitis,PHVS_YesNoUnknown_CDC
Orchitis onset date,Onset date of orchitis,
Epididymitis,Experienced epididymitis?,PHVS_YesNoUnknown_CDC
Epididymitis onset date,Onset date of epididymitis,
Hepatomegaly,Experienced hepatomegaly,PHVS_YesNoUnknown_CDC
Hepatomegaly onset date,Onset date of hepatomegaly,
splenomegaly,Experienced splenomegaly,PHVS_YesNoUnknown_CDC
splenomegaly onset date,Onset date of splenomegaly,
Arthritis,Experienced athritis?,PHVS_YesNoUnknown_CDC
Arthritis onset date,Onset date of arthritis,
Meningitis,Experienced meningitis,PHVS_YesNoUnknown_CDC
Meningitis onset date,Onset date of meningitis,
spondylitis,Experienced spondylitis,PHVS_YesNoUnknown_CDC
spondylitis onset date,Onset date of spondylitis,
Symptoms Other,Were other symptoms or signs experienced,PHVS_YesNoUnknown_CDC
Symptoms Other details,Describe other symptoms or signs experienced,
Symptoms Other onset date,Details of other symptoms experienced,
Hospitalized,Was subject hospitalized because of this event?,PHVS_YesNoUnknown_CDC
Admission Date,Subject's first admission date to the hospital for the condition covered by the investigation.,
Discharge Date,Subject's first discharge date from the hospital for the condition covered by the investigation.,
Subject Died ,Did the subject die from this illness or complications of this illness?,PHVS_YesNoUnknown_CDC
Deceased Date,"If the subject died from this illness or complications associated with this illness, indicate the date of death",
Treatment status,"Status of treatment at time of case notification (""Currently under treatment"", ""Completed treatment"", ""Not treated"", ""No Response"")",
Treated doxycycline,treated with doxycycline?,PHVS_YesNoUnknown_CDC
Dose of doxycycline,dosage of doxycycline prescribed,
Days of doxycycline,days of doxycycline prescribed,
Treated with rifampin,treated with rifampin?,PHVS_YesNoUnknown_CDC
dosage of rifampin,dosage of rifampin prescribed,
days of rifampin,days of rifampin prescribed,
Treated with streptomycin,treated with streptomycin?,PHVS_YesNoUnknown_CDC
