Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action)
RECTYPE,"Record type will determine how the record is handled when it arrives at CDC.  
",Value for case data:   M=MMWR report
UPDATE,Currently not implemented. ,(Pad with a 9)
STATE,"Reporting State FIPS code - (e.g., ""06"", ""13"").",
YEAR,MMWR Year (2-digits) for which case information reported to CDC.,
CASEID,Unique Case ID (numeric only) assigned by the state.,
SITE,Location code used by the state to indicate where report originated and who has responsibility for maintaining the record. (NOTE: STD*MIS software substitutes a '#' for the leading 'S' in codes listed). ,"S01=State epidemiologist
S02=State STD Program
S03=State Chronic Disease Program
S04-S99=Other state offices
R01-R99=Regional or district offices
001-999=County health depts (FIPS codes)
L01-L99=Laboratories within state
CD1=Historical records (prior to new format)
CD2=Entered at CDC (based on phone reports)"
WEEK,"MMWR Week on Surveillance Calendar, i.e., week for which case information reported to CDC.",
EVENT,Event (disease) code for the disease being reported.,10316=Syphilis (congenital)
COUNT,"For case records this field will always contain ""00001"".",
COUNTY,FIPS code for reporting county (999=Unknown) ,
BIRTHDATE,Date of birth of infant in YYYYMMDD format (99999999=Unknown) ,
AGE,"Estimated Gestational Age in weeks - (e.g., ""038"", ""042"") (999= Unknown)",
AGETYPE,Indicates the units (weeks) for the AGE field.,"2=0-52 Weeks
9=Gestational Age Unknown (AGE field should be 999)
"
RACE,Race of Mother.,"1=American Indian/Alaskan Native
2=Asian or Pacific Islander
3=Black
5=White
8=Other
9=Unknown
NOTE: Please use only one of the codes above if a single race was  selected.  If multiple races were selected, enter code 8=Other for Race and also select the appropriate race categories that apply in columns 238-244.
"
HISPANIC,Indicator for Mother's Hispanic ethnicity.,"1=Hispanic/Latino
2=Non-Hispanic/Latino
9=Unknown
"
EVENTDATE,Date of Report to Health Department in YYMMDD format ,
DATETYPE,A code describing the type of date provided in EVENTDATE.,4=Date of first report to community health system
CASE STATUS,Recode of Case Classification.,"1=Confirmed, Probable, or Syphilitic stillbirth
2=Not a case
9=Unknown
"
OUTBREAK,Indicates whether the case was associated with an outbreak.,"1=Yes
2=No
9=Unknown
"
INFOSRCE,Information Source/Provider Codes (from Interview Record if available).,"01=HIV Counseling and Testing Site
02=STD clinic
03=Drug Treatment
04=Family Planning
06=Tuberculosis clinic
07=Other Health Department clinic
08=Private Physician/HMO
10=Hospital-Emergency Room; Urgent Care Facility
11=Correctional Facility
12=Laboratory
13=Blood Bank
14=Labor and Delivery
15=Prenatal
16=National Job Training Program
17=School-based Clinic
18=Mental Health Provider
29=Hospital-Other
66=Indian Health Service
77=Military
88=Other
99=Unknown (if data not available)
"
DETECTED,Method of Case Detection (from Interview Record if available).,"20=Screening
21=Self-referred
22=Patient referred partner
23=Health Department referred partner
24= Cluster related
88=Other
99=Unknown
"
MZIP,Zip Code for Mother's Residence ,99999=Unknown (if data not available)
