Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action)
Animal Contact Questions Indicator,"If contact with animal, then display the following questions",Yes No Indicator (HL7)
Animal Contact Indicator,Did patient come in contact with an animal?,Yes No Unknown (YNU)
Animal Type Code(s),Type of animal: (MULTISELECT),Animal Type (FDD)
Animal Type Other,"If ""Other,"" please specify other type of animal:",
Amphibian Other,"If ""Other Amphibian,"" please specify other type of amphibian:",
Reptile Other,"If ""Other Reptile,"" please specify other type of reptile:",
Mammal Other,"If ""Other Mammal,"" please specify other type of mammal:",
Animal Contact Location,Name or Location of Animal Contact:,
Acquired New Pet,Did the patient acquire a pet prior to onset of illness?,Yes No Unknown (YNU)
Applicable Incubation Period,Applicable incubation period for this illness is,
Associated with Daycare Indicator,If Patient associated with a day care center:,Yes No Indicator (HL7)
Day Care Attendee,Attend a day care center?,Yes No Unknown (YNU)
Day Care Worker,Work at a day care center?,Yes No Unknown (YNU)
Live with Day Care Attendee,Live with a day care center attendee?,Yes No Unknown (YNU)
Day Care Type,What type of day care facility?,Day CareType (FDD)
Day Care Facility Name,What is the name of the day care facility?,
Food Prepared at this Daycare,Is food prepared at this facility?,Yes No Unknown (YNU)
Diapered Infants at this Daycare,Does this facility care for diapered persons?,Yes No Unknown (YNU)
Drinking Water Exposure Indicator,"If patient has had Drinking Water exposure, then display the following questions",Yes No Indicator (HL7)
Home Tap Water Source Code,What is the source of tap water at home?,Tap Water Source (FDD)
Home Well Treatment Code,"If ""Private Well,"" how was the well water treated at home?",Well Water Treatment (FDD)
Home Tap Water Source Other,"If ""Other,"" specify other source of tap water at home:",
School/Work Tap Water Source Code,What is the source of tap water at school/work?,Tap Water Source (FDD)
SchoolWork Well Treatment Code,"If ""Private Well,"" how was the well water treated at school/work?",Well Water Treatment (FDD)
School/Work Tap Water Source Other,"If ""Other,"" specify other source of tap water at school/work:",
