Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action)
CASEID,Case patient's ID,
FIRST_IDENT,How was patient's illness first identified by public health (state or local health department or EIP)? ,
DATE_AS,Date case entered into data system (Complete if FIRST_IDENT=1),
OTHR_IDENT_DESC,Describe other way patient's illness first identified by public health (Complete if FIRST_IDENT=4). ,
HDD,Was this case captured through Hospital Discharge Data?,
HDD_DATE,Date case entered into data system (Complete if HDD=1),
DATEHUS,Date of HUS diagnosis,
OUTBREAK,Is this case outbreak-related?,
DIARRHEA,Did patient have diarrhea during the 3 weeks before HUS diagnosis? ,
DONSET,Date of diarrhea (Complete if DIARRHEA=1),
STOOLBLOOD,Did stools contain visible blood at any time? (Complete if DIARRHEA=1),
DTREATED,Was diarrhea treated with antimicrobial medications/ (Complete if DIARRHEA=1),
A1ANTI,Type of antimicrobial (Complete if DTREATED=1),
CONTACT,"Did the patient have contact with another person with diarrhea or HUS during the 3 weeks before HUS diagnosis (include daycare, household, etc)? (Complete if DIARRHEA=2)",
OTHREA,Was patient treated with an antimicrobial medication for any other reason than diarrhea during the 3 weeks before HUS diagnosis?,
A3ANTI,Type of antimicrobial (Complete if OTHREA=1),
A4REAS,Reason for antimicrobial (Complete if OTHREA=1),
GASTRO,Was other gastrointestinal illness present during 3 weeks before HUS diagnosis? ,
UTI,Did patient have a urinary tract infection during 3 weeks before HUS diagnosis? ,
RTI,Did patient have a respiratory tract infection during 3 weeks before HUS diagnosis? ,
ACUTE,Did patient have other acute illness during 3 weeks before HUS diagnosis? ,
DACUTE,Describe other acute illness (Complete if ACUTE=1),
PREG,Was patient pregnant during 3 weeks before HUS diagnosis? ,
KIDN,Did patient have kidney disease during 3 weeks before HUS diagnosis? ,
IMMCOMP,Did patient have an ummunocompromising condition or was the patient taking medication during 3 weeks before HUS diagnosis? ,
MALIG,Did patient have a malignancy during 3 weeks before HUS diagnosis? (Complete if IMMCOMP=1) ,
TRANSPL,Did patient have transplanted organ or bone marrow during 3 weeks before HUS diagnosis? (Complete if IMMCOMP=1) ,
HIV,Did patient have HIV infection during 3 weeks before HUS diagnosis? (Complete if IMMCOMP=1) ,
STER,Was patient using steroids (parenteral or oral)  during 3 weeks before HUS diagnosis? (Complete if IMMCOMP=1) ,
IMMOTHER,Describe other immunocompromising condition during 3 weeks before HUS diagnosis? (Complete if IMMCOMP=1) ,
CRE,Laboratory values within 7 days before and 3 days after HUS diagnosis: Highest serum creatinine (expressed as mg/dL),
BUN,Laboratory values within 7 days before and 3 days after HUS diagnosis: Highest serum BUN (expressed as mg/dL),
WBC,Laboratory values within 7 days before and 3 days after HUS diagnosis: Highest serum WBC (expressed as K/mm3),
HGB,Laboratory values within 7 days before and 3 days after HUS diagnosis: Lowest hemoglobin (expressed as g/dL),
HCT,Laboratory values within 7 days before and 3 days after HUS diagnosis: Lowest hematocrit (expressed as %),
PLT,Laboratory values within 7 days before and 3 days after HUS diagnosis: Lowest platelet count (expressed as K/mm3),
RCFRAG,"Were there microangiopathic changes (i.e., schistocytes, helmet cells or red cell fragments) at any time within 7 days before HUS diagnosis to hospital discharge (if patient was not hospitalized or discharged within 3 days of HUS diagnosis, then outpatient lab results from 7 days before to 3 days after diagnosis should be used, if available)",
BURINE,Other laboratory findings within 7 days before and 3 days after HUS diagnosis: Blood (or heme) in urine ,
PURINE,Other laboratory findings within 7 days before and 3 days after HUS diagnosis: Protein in urine ,
