Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action),Group,Group Description,Resource
Reason for Testing,Listing of the reason(s) the subject was tested for hepatitis.,PHVS_ReasonForTest_Hepatitis,Basic Questions,Questions related to the disease or patient that do not fit within any more specific category,Questionnaire
Symptomatic,Was the subject symptomatic for hepatitis?,PHVS_YesNoUnknown_CDC,Symptomatic,Questions related to whether the patient shows any symptoms or is asymptomatic,Questionnaire
Date of Illness Onset,Date of the beginning of the illness.  Reported date of the onset of symptoms of the condition being reported to the public health system,,Core Data,Questions that appear in the electronic initial case report and so don't need to be captured in the supplemental data.,Basic
Jaundiced (Symptom),Was the subject jaundiced?,PHVS_YesNoUnknown_CDC,Symptoms,Questions related to the symptoms a patient is displaying. ,Observation
Due Date,Subject's pregnancy due date,,Pregnancy Status,Questions related to the patient's pregnancy status,Condition
Previously Aware of Condition,Was the subject aware they had Hepatitis prior to lab testing?,PHVS_YesNoUnknown_CDC,Basic Questions,Questions related to the disease or patient that do not fit within any more specific category,Questionnaire
Provider of Care for Condition,Does the subject have a provider of care for Hepatitis?  This is any healthcare provider that monitors or treats the patient for viral hepatitis.,PHVS_YesNoUnknown_CDC,Lab Tests,Questions related to lab tests run on the patient,DiagnosticReport
Liver Enzyme Test Type,Liver Enzyme Test Type,PHVS_LabTestTypeEnzymes_Hepatitis,Lab Tests,Questions related to lab tests run on the patient,DiagnosticReport
Liver Enzyme Test Result Date,Liver Enzyme Test Result Date,,Lab Tests,Questions related to lab tests run on the patient,DiagnosticReport
Liver Enzyme Upper Limit Normal,Liver Enzyme Upper Limit Normal,,Lab Tests,Questions related to lab tests run on the patient,DiagnosticReport
Liver Enzyme Test Result,Liver Enzyme Test Result,,Lab Tests,Questions related to lab tests run on the patient,DiagnosticReport
Test Type,Epidemiologic interpretation of the type of test(s) performed for this case.,PHVS_LabTestType_Hepatitis,Lab Tests,Questions related to lab tests run on the patient,DiagnosticReport
Test Result,Epidemiologic interpretation of the results of the test(s) performed for this case.,PHVS_PosNegUnk_CDC,Lab Tests,Questions related to lab tests run on the patient,DiagnosticReport
anti-HCV signal to cut-off ratio,Used to specify the anti-HCV signal to cut-off ratio if antibody to Hepatitis C virus was the test performed.,,Lab Tests,Questions related to lab tests run on the patient,DiagnosticReport
Is this case Epi-linked to another confirmed or probable case?,Specify if this case is Epidemiologically-linked to another confirmed or probable case of hepatitis?,PHVS_YesNoUnknown_CDC,Basic Questions,Questions related to the disease or patient that do not fit within any more specific category,Questionnaire
Contact With Confirmed or Suspected Case,"During the 2-6 weeks prior to the onset of symptoms, was the subject a contact of a person with confirmed or suspected hepatitis virus infection?",PHVS_YesNoUnknown_CDC,Exposure,Questions related to the patient's exposure to factors that might have caused or exacerbated the disease,Questionnaire
Contact Type,"During the 2-6 weeks prior to the onset of symptoms, type of contact the subject had with a person with confirmed or suspected hepatitis virus infection",PHVS_ContactType_HepatitisA,Exposure,Questions related to the patient's exposure to factors that might have caused or exacerbated the disease,Questionnaire
