Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action)
Patient ID,CDC assigned unique ID,
Completed By,Person completing LI form,
Date Completed,Date LI form completed,
Case Year,Year of specimen collection,
Gender,Gender,
State of Residence,State of residence,
Age,Age of case-patient,
Date of Birth,Date of birth,
State Epi ID,State or local epi case ID,
CDC/eFORS ID,CDC/eFORS ID,
Ethnicity,Ethnicity,
African American/Black,African American/Black,
Asian,Asian,
Native Hawaiian/Other Pacific Islander,Native Hawaiian or Other Pacific Islander,
Native American,Native American/Alaska Native,
White,White,
Unknown,Unknown race,
Pregnancy,Is Listeria case associate with pregnancy,
BloodNP,"Blood specimen grew Listeria, non-pregnant case",
BloodNPDate,"Date blood specimen collected, non-pregnant case",
BloodNPLab,"Lab submitting blood specimen, non-pregnant case",
BloodNPIDNumber,"State public health isolate ID number, blood, non-pregnant case",
CSFNP,"CSF speciment grew Listeria, non-pregnant case",
CSFNPDate,"Date CSF specimen collected, non-pregnant case",
CSFNPLab,"Lab submitting CSF specimen, non-pregnant case",
CSFNPIDNumber,"State public health isolate ID number, CSF, non-pregnant case",
StoolNP,"Stool specimen grew Listeria, non-pregnant case",
StoolNPDate,"Date stool specimen collected, non-pregnant case",
StoolNPLab,"Lab submitting stool specimen, non-pregnant case",
StoolNPIDNumber,"State public health isolate ID number, stool, non-pregnant case",
OtherNP,"Other specimen grew Listeria, non-pregnant case",
OtherNPSpec,"Specify other specimen source, non-pregnant case",
OtherNPDate,"Date other specimen collected, non-pregnant case",
OtherNPLab,"Lab submitting other specimen, non-pregnant case",
OtherNPIDNumber,"State public health isolate ID number, other specimen, non-pregnant case",
OtherNP2,"Second ""Other"" specimen grew Listeria, non-pregnant case",
OtherNP2Spec,"Specify second ""other"" specimen source, non-pregnant case",
OtherNP2Date,"Date second ""other"" specimen collected, non-pregnant case",
NotherNP2Lab,"Lab submitting second ""other"" specimen, non-pregnant case",
OtherNP2IDNumber,"State public health isolate ID number, second ""other"" specimen, non-pregnant case",
BacteremiaNP,"Type of illness-Bacteremia/sepsis, non-pregnant case",
MeningitisNP,"Type of illness-Meningitis, non-pregnant case",
FebrilegastroenteritisNP,"Type of illness-Febrile gastroenteritis, non-pregnant case",
OtherIllnessNP,"Type of illness-Other, non-pregnant case",
OtherNP specify,"Specify other illness, non-pregnant case",
UnknownNP,"Type of illness-Unknown, non-pregnant case",
HospitalizedNP,"Was patient hospitalized for listeriosis, non-pregnant case",
AdmitNP,"Hospital admit date, non-pregnant case",
DischargeNP,"Hospital discharge date, non-pregnant case",
StillhospitalizedNP,"Patient still hospitalized, non-pregnant case",
OutcomeNP,"Patient's outcome, non-pregnant case",
BloodMotherAP,"Blood specimen from mother grew Listeria, pregnancy-associated case",
BloodMotherAPDate,"Date blood specimen from mother collected, pregnancy-associated case",
BloodMotherAPLab,"Lab submitting blood specimen from mother, pregnancy-associated case",
BloodMotherAPIDNumber,"State public health isolate ID number, blood specimen from mother, pregnancy-associated case",
BloodNeonateAP,"Blood specimen from neonate grew Listeria, pregnancy-associated case",
BloodNeonateAPDate,"Date blood specimen from neonate collected, pregnancy-associated case",
BloodNeonateAPLab,"Lab submitting blood specimen from neonate, pregnancy-associated case",
BloodNeonateAPIDNumber,"State public health isolate ID number, blood specimen from neonate, pregnancy-associated case",
CSFMotherAP,"CSF specimen from mother grew Listeria, pregnancy-associated case",
CSFMotherAPDate,"Date CSF specimen from mother collected, pregnancy-associated case",
CSFMotherAPLab,"Lab submitting CSF specimen from mother, pregnancy-associated case",
CSFMotherAPIDNumber,"State public health lab isolate ID number, CSF specimen from mother, pregnancy-associated",
CSFNeonateAP,"CSF specimen from neonate grew Listeria, pregnancy-associated case",
CSFNeonateAPDate,"Date CSF specimen from neonate collected, pregnancy-associated case",
CSFNeonateAPLab,"Lab submitting CSF specimen from neonate, pregnancy-associated case",
CSFNeonateAPIDNumber,"State public health isolate ID number, CSF specimen from neonate, pregnancy-associated",
StoolMotherAP,"Stool specimen from mother grew Listeria, pregnancy-associated case",
StoolMotherAPDate,"Date stool specimen from mother collected, pregnancy-associated case",
StoolMotherAPLab,"Lab submitting stool specimen from mother, pregnancy-associated case",
StoolMotherAPIDNumber,"State public health isolate ID number, stool specimen from mother, pregnancy-associated case",
PlacentaAP,"Placenta specimen grew Listeria, pregnancy-associated case",
PlacentaAPDate,"Date placenta specimen collected, pregnancy-associated case",
PlacentaAPLab,"Lab submitting placenta specimen, pregnancy-associated case",
PlacentaAPIDNumber,"State public health lab isolate ID number, placenta specimen, pregnancy-associated case",
AmnioticAP,"Amniotic fluid specimen grew Listeria, pregnancy-associated case",
AmnioticAPDate,"Date amniotic fluid collected, pregnancy-associated case",
AmnioticAPLab,"Lab submitting amniotic fluid specimen, pregnnacy-associated case",
AmnioticAPIDNumber,"State public health lab isolate ID number, amniotic fluid specimen, pregnancy-associated case",
OtherAP,"Other specimen grew Listeria, pregnancy-associated case",
OtherAPSpec,"Specify other specimen source, pregnancy-associated case",
OtherAPDate,"Date other specimen collected, pregnancy-associated case",
OtherAPLab,"Lab submitting other specimen, pregnancy-associated case",
OtherAPIDNumber,"State public health lab isolate ID number, other specimen, pregnancy-associated case",
Other2AP,"Second ""other"" specimen grew Listeria, pregnancy-associated case",
Other2APSpec,"Specify second ""other"" specimen source, pregnancy-associated case",
Other2APDate,"Date second ""other"" specimen collected, pregnancy-associated case",
Other2APLab,"Lab submitting second ""other"" specimen, pregnancy-associated case",
Other2APIDNumber,"State public health lab isolate ID number, second ""other"" specimen, pregnancy-associated case",
StillPregnantT1,"Outcome of pregnancy: Still pregnant (single gestation or twin 1), pregnancy-associated",
StillPregT1Gest,"If still pregnant, weeks of gestation (single gestation or twin 1), pregnancy-associated",
StillPregT1Date,"If still pregnant, date (single gestation or twin 1), pregnancy-associated",
StillPregnantT2,"Outcome of pregnancy: Still pregnant (twin 2), pregnancy-associated",
StillPregnantT2Gest,"If still pregnant, weeks of gestation (twin 2), pregnancy-associated",
StillPregnantT2Date,"If still pregnant, date (twin 2), pregnancy-associated",
FetaldeathT1,"Outcome of pregnancy: Fetal death (misscarriage or stillbirth; single gestation or twin 1), pregnancy-associated",
FetalDeathT1Gest,"If fetal death, weeks gestation (single gestation or twin 1), pregnancy-associated",
FetalDeathT1Date,"If fetal death, date (single gestation or twin 1), pregnancy-associated",
FetalDeathT2,"Outcome of pregnancy: Fetal death (misscarriage or stillbirth; twin 2), pregnancy-associated",
FetalDeathT2Gest,"If fetal death, weeks gestation (twin 2), pregnancy-associated",
FetalDeathT2Date,"If fetal death, date (twin 2), pregnancy-associated",
AbortionT1,"Outcome of pregnancy: Induced abortion (single gestation or twin 1), pregnancy-associated",
AbortionT1Gest,"If abortion, weeks gestation (single gestation or twin 1), pregnancy-associated",
AbortionT1Date,"If abortion, date (single gestation or twin 1), pregnancy-associated",
AbortionT2,"Outcome of pregnancy: Induced abortion (twin 2), pregnancy-associated",
AbortionT2Gest,"If abortion, weeks gestation (twin 2), pregnancy-associated",
AbortionT2Date,"If abortion, date (twin 2), pregnancy-associated",
DeliveryT1,"Outcome of pregnancy: Delivery (live birth; single gestation or twin 1), pregnancy-associated",
DeliveryT1Gest,"If delivery, weeks gestation (single gestation or twin 1), pregnancy-associated",
DeliveryT1Date,"If delivery, date (single gestation or twin 1), pregnancy-associated",
DeliveryT2,"Outcome of pregnancy: Delivery (live birth; twin 2), pregnancy-associated",
DeliveryT2Gest,"If delivery, weeks gestation (twin 2), pregnancy-associated",
DeliveryT2Date,"If delivery, date (twin 2), pregnancy-associated",
OtherT1AP,"Outcome of pregnancy: Other (single gestation or twin 1), pregnancy-associated",
APOtherT1spec,"If other pregnancy outcome, specify (single gestation or twin 1), pregnancy-associated",
APOtherT1Date,"If other pregnancy outcome, date (single gestation or twin 1), pregnancy-associated",
APOtherT1Gest,"If other pregnancy outcome, weeks gestation (single gestation or twin 1), pregnancy-associated",
OtherT2AP,"Outcome of pregnancy: Other (twin 2), pregnancy-associated",
APOtherT2spec,"If other pregnancy outcome, specify (twin 2), pregnancy-associated",
APOtherT2Gest,"If other pregnancy outcome, weeks gestation (twin 2), pregnancy-associated",
APOtherT2Date,"If other pregnancy outcome, date (twin 2), pregnancy-associated",
APBacteremiaMother,"Type of illness in mother: Bacteremia/sepsis, pregnancy-associated",
APMeningitisMother,"Type of illness in mother: Meningitis, pregnancy-associated",
APFebrileGastroMother,"Type of illness in mother: Febrile gastroenteritis, pregnancy-associated",
APAmnionitis,"Type of illness in mother: Amnionitis, pregnancy-associated",
APFlulikeMother,"Type of illness in mother: Non-specific ""flu-like"" illness, pregnancy-associated",
APNoneMother,"Type of illness in mother: None, pregnancy-associated",
APOtherMother,"Type of illness in mother: Other, pregnancy-associated",
ApOtherSpecMom,"If other type of illness in mother, specify, pregnancy-associated",
APUnknownMother,"Type of illness in mother: Unknown, pregnancy-associated",
APBacteremiaT1,"Type of illness in neonate (twin 1): Bacteremia/sepsis, pregnancy-associated",
APMeningitisT1,"Type of illness in neonate (twin 1): Meningitis, pregnancy-associated",
APPneumoniaT1,"Type of illness in neonate (twin 1): Pneumonia, pregnancy-associated",
APGranulomatosisT1,"Type of illness in neonate (twin 1):Granulomatosis infantisepticum, pregnancy-associated",
APNoneT1,"Type of illness in neonate (twin 1): None, pregnancy-associated",
APOtherT1,"Type of illness in neonate (twin 1): Other, pregnancy-associated",
APOtherillT1spec,"If other type of illness in neonate (twin 1), specify, pregnancy-associated",
APUnknownT1,"Type of illness in neonate (twin 1): Unknown, pregnancy-associated",
APBactermiaT2,"Type of illness in neonate (twin 2): Bacteremia/sepsis, pregnancy-associated",
APMeningitisT2,"Type of illness in neonate (twin 2): Meningitis, pregnancy-associated",
APPneumoniaT2,"Type of illness in neonate (twin 2): Pneumonia, pregnancy-associated",
APGranulomatosisT2,"Type of illness in neonate (twin 2): Granulomatosis infantisepticum, pregnancy-associated",
APNoneT2,"Type of illness in neonate (twin 2): None, pregnancy-associated",
APOtherT2,"Type of illness in neonate (twin 2): Other, pregnancy-associated",
APOtherillT2spec,"If other type of illness in neonate (twin 2), specify, pregnancy-associated",
APUnknownT2,"Type of illness in neonate (twin 2): Unknown, pregnancy-associated",
APMotherHospitalized,Was mother hospitalized for listerosis? pregnancy-associated,
APAdmitMother,"Admit date, mother, pregnancy-associated",
APDischargeMother,"Discharge date, mother, pregnancy-associated",
APStillHospitalizedMother,"Mother still hospitalized, pregnancy-associated",
APT1Hospitalized,Was neonate (twin 1) hospitalized for listeriosis? pregnancy-associated,
APT1Admit,"Admit date, neonate (twin 1), pregnancy-associated",
APT1Discharge,"Discharge date, neonate (twin 1), pregnancy-associated",
APT1StillHospitalized,"Neonate (twin 1) still hospitalized, pregnancy-associated",
APT2Hospitalized,Was neonate 2 (twin 2) hospitalized for listeriosis? pregnancy-associated,
APT2Admit,"Admit date, neonate (twin 2), pregnancy-associated",
APT2Discharge,"Discharge date, neonate (twin 2), pregnancy-associated",
APT2StillHospitalized,"Neonate 2 (twin 2) still hospitalized, pregnancy-associated",
APOutcomeMother,"Mother's outcome, pregnancy-associated",
APOutcomeT1,"Neonate's (twin 1's) outcome, pregnancy-associated",
APOutcomeT2,"Neonate 2's (twin 2's) outcome, pregnancy-associated",
InterviewDate,Date of interview,
InterviewInitials,Initials of interviewer,
Interviewee,Interviewee,
Relationship,"If surrogate, relationship to patient",
OtherSpec,"If other relationship to patient, specify",
Onset,Onset of illness,
HospitalizedBefore,Hospitalized (admitted to a hospital overnight) during 4 weeks before illness began,
HAdmit,"If hospitalized prior to onset, admit date",
HDischarge,"If hospitalized prior to onset, discharge date",
Hname,Name of hospital admitted to in 4 weeks before illness began,
StillHosp,"Still hospitalized, if hospitalized in 4 weeks before illness began",
NursingHomeBefore,Resident in nursing home or other long term care facility during 4 weeks before illness began,
Admitdate,Date admitted to nursing home (if resident in 4 weeks prior to onset),
DischargeDate,Dicharge date from nursing home (if resident in 4 weeks prior to onset),
StillHosporNH,"Still in nursing home, if in nursing home 4 weeks before illness began",
NHName,Name of nursing home resident of in 4 weeks before illness began,
TravelState,"During the 4 weeks before your illness, doid you travel to a state outside your state of residence?",
StatesVisited,"If traveled to state outside your state of residence in 4 weeks before illness, please list states visited",
TravelInternat,"During the 4 weeks before your illness, did you travel outside the US?",
Countries,"If traveled outside the US in 4 weeks before illness, what countries did you visit?",
DateDepart,"If traveled outside the US in 4 weeks before illness, what was your departure date?",
DateReturn,"If traveled outside the US in 4 weeks before illness, what date did you return?",
Fever,Fever,
Chills,Chills,
Headache,Headache,
MuscleAches,Muscle Aches,
StiffNeck,Stiff Neck,
Diarrhea,Diarrhea (≥3 loose stools/day),
Vomiting,Vomiting,
PretermLabor,Preterm Labor,
Other,Other symptoms,
OtherSp,Specify other symptoms,
Other2,Other symptoms,
Other2Sp,Specify other symptoms,
TestDelivered,Date first positive Listeria isolate collected/delivery date (preg cases),
4weeksbefore,Four weeks before first positive Listeria isolate collected,
SpecCollection,Specimen collection date/delivery date (preg cases),
GroceryPurchase,Did you eat food purchased from any grocery stores during the 4 week time period,
Grocery1,Name of grocery store 1,
Grocery1Address,"Street address, city, county, state of grocery store 1",
Grocery2,Name of grocery store 2,
Grocery2Address,"Street address, city, county, state of grocery store 2",
Grocery3,Name of grocery store 3,
Grocery3Address,"Street address, city, county, state of grocery store 3",
Grocery4,Name of grocery store 4,
Grocery4Address,"Street address, city, county, state of grocery store 4",
Grocery5,Name of grocery store 5,
Grocery5Address,"Street address, city, county, state of grocery store 5",
Grocery6,Name of grocery store 6,
Grocery6Address,"Street address, city, county, state of grocery store 6",
Grocery7,Name of grocery store 7,
Grocery7Address,"Street address, city, county, state of grocery store 7",
FarmersMarketPurchase,"Did you eat food purchased from any delicatessens, small local markets, other small shops, or farmers' markets during the 4 week period?",
FarmersMarket1,"Name of delicatessen, small local market, other small shop, or farmers markets 1",
FarmersMarket1Address,"Street address, city, county, state of delicatessen, small local market, other small shop, or farmers market 1",
FarmersMarket2,"Name of delicatessen, small local market, other small shop, or farmers markets 2",
FarmersMarket2Address,"Street address, city, county, state of delicatessen, small local market, other small shop, or farmers market 2",
FarmersMarket3,"Name of delicatessen, small local market, other small shop, or farmers markets 3",
FarmersMarket3Address,"Street address, city, county, state of delicatessen, small local market, other small shop, or farmers market 3",
FarmersMarket4,"Name of delicatessen, small local market, other small shop, or farmers markets 4",
FarmersMarket4Address,"Street address, city, county, state of delicatessen, small local market, other small shop, or farmers market 4",
FarmersMarket5,"Name of delicatessen, small local market, other small shop, or farmers markets 5",
FarmersMarket5Address,"Street address, city, county, state of delicatessen, small local market, other small shop, or farmers market 5",
FarmersMarket6,"Name of delicatessen, small local market, other small shop, or farmers markets 6",
FarmersMarket6Address,"Street address, city, county, state of delicatessen, small local market, other small shop, or farmers market 6",
FarmersMarket7,"Name of delicatessen, small local market, other small shop, or farmers markets 7",
FarmersMarket7Address,"Street address, city, county, state of delicatessen, small local market, other small shop, or farmers market 7",
RestaurantPurchase,"Did you eat food from any restaurants, including sit-down, fast-food, and take-out restaurants during the 4 week period?",
Restaurant1,Name of restaurant 1,
Restaurant1Address,"Street address, city, county, state of restaurant 1",
Restaurant1Date,Dining date restaurant 1,
Restaurant2,Name of restaurant 2,
Restaurant2Address,"Street address, city, county, state of restaurant 2",
Restaurant2Date,Dining date restaurant 2,
Restaurant3,Name of restaurant 3,
Restaurant3Address,"Street address, city, county, state of restaurant 3",
Restaurant3Date,Dining date restaurant 3,
Restaurant4,Name of restaurant 4,
Restaurant4Address,"Street address, city, county, state of restaurant 4",
Restaurant4Date,Dining date restaurant 4,
Restaurant5,Name of restaurant 5,
Restaurant5Address,"Street address, city, county, state of restaurant 5",
Restaurant5Date,Dining date restaurant 5,
Restaurant6,Name of restaurant 6,
Restaurant6Address,"Street address, city, county, state of restaurant 6",
Restaurant6Date,Dining date restaurant 6,
Restaurant7,Name of restaurant 7,
Restaurant7Address,"Street address, city, county, state of restaurant 7",
Restaurant7Date,Dining date restaurant 7,
OtherVenuePurchase,"Did you eat food purchased or obtained from any other venues, such as school cafeteria, concession stands, street vendors, institutions (e.g., hospital food), local farms, or private vendors during the 4 week period?",
OtherVenue1,Name of other venue 1,
