Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action)
Paralysis onset date,Date of onset of paralysis,
Clinical course,Clinical course,
CSF date,Date of CSF results,
WBCs,White blood cell test results for cerebral spinal fluid,
RBCs,Red blood cell test results for cerebral spinal fluid,
%Lymph,%lymphs test results for CSF,
%polys,%polys test results for CSF,
Protein,Protein test results for CSF,
Glucose,Glucose test results for CSF,
60-day follow up date,Date of 60-day follow up,
Paralysis site,Sites of paralysis,
Specific sites,Specific sites of paralysis,
60-day residual,60-day paralysis residual,
TOPV immunization history,TOPV within 30 days prior to onset of symptoms?,
Date of TOPV,TOPV immunization date,
Lot number,TOPV vaccine lot number,
IPV-containing vaccine,Total doses ever received of IPV-containing vaccine,
Date 1 IPV,First IPV vaccine date,
Date 2 IPV,Second IPV vaccine date,
Date 3 IPV,Third IPV vaccine date,
TOPV vaccine,Total doses ever received of TOPV vaccine,
Date 1 TOPV,First TOPV vaccine date,
Date 2 TOPV,Second TOPV vaccine date,
Date 3 TOPV,Third TOPV vaccine date,
BOPV vaccine,Total doses ever received of BOPV vaccine,
Date 1 BOPV,First BOPV vaccine date,
Date 2 BOPV,Second BOPV vaccine date,
Date 3 BOPV,Third BOPV vaccine date,
MOPV vaccine,Total doses ever received of MOPV vaccine,
Date 1 MOPV,First MOPV vaccine date,
Date 2 MOPV,Second MOPV vaccine date,
Date 3 MOPV,Third MOPV vaccine date,
First injection date,Date of first injection received within 30 days prior to onset of illness,
Substance,"Substance (vaccine, antibiotic, other) of first injection",
Describe,Description of first injection substance,
First injection site,Site of first injection,
Second injection date,Date of second injection received within 30 days prior to onset of illness,
Substance,"Substance (vaccine, antibiotic, other) of second injection",
Describe,Description of second injection substance,
Second injection site,Site of second injection,
Third injection date,Date of third injection received within 30 days prior to onset of illness,
Substance,"Substance (vaccine, antibiotic, other) of third injection",
Describe,Description  of third injection substance,
Third injection site,Site of third injection,
Fourth injection date,Date of fourth injection received within 30 days prior to onset of illness,
Substance,"Substance (vaccine, antibiotic, other) of fourth injection",
Describe,Description of fourth injection substance,
Fourth injection site,Site of fourth injection,
Travel to endemic/epidemic area(s),Did case/household member travel to endemic/epidemic area(s)?,
