Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action)
Wool or Felt Plant,Did the case work in a wool or felt plant,PHVS_YesNoUnknown_CDC
Tannery or Rendering,Did the case work in a tannery or rendering plant,PHVS_YesNoUnknown_CDC
Dairy,Did the case work in a dairy,PHVS_YesNoUnknown_CDC
Veterinarian,Did the case work as a veterinarian,PHVS_YesNoUnknown_CDC
Medical Researcher,Did the case work as a medical researcher,PHVS_YesNoUnknown_CDC
Animal Researcher,Did the case work as an animal researcher,PHVS_YesNoUnknown_CDC
Slaughterhouse,Did the case work in a slaughterhouse,PHVS_YesNoUnknown_CDC
Laboratory,Did the case work in a laboratory,PHVS_YesNoUnknown_CDC
Rancher,Did the case work as a rancher,PHVS_YesNoUnknown_CDC
Lives in Household,Did the case live in a household with someone who may have one of the above occupational exposures,PHVS_YesNoUnknown_CDC
Military,Did the case work in the military,PHVS_YesNoUnknown_CDC
Other Occupation,Indicate the case's occupation if none of the above,
Cattle Contact,Did the case have contact with cattle within two months of illness onset,PHVS_YesNoUnknown_CDC
Sheep Contact,Did the case have contact with sheep within two months of illness onset,PHVS_YesNoUnknown_CDC
Goat Contact,Did the case have contact with goats within two months of illness onset,PHVS_YesNoUnknown_CDC
Pigeon Contact,Did the case have contact with pigeons within two months of illness onset,PHVS_YesNoUnknown_CDC
Cat Contact,Did the case have contact with cats within two months of illness onset,PHVS_YesNoUnknown_CDC
Rabbit Contact,Did the case have contact with rabbits within two months of illness onset,PHVS_YesNoUnknown_CDC
Other Animal Contact,Indicate any other animals the case had contact within within two months of illness onset,
Exposure to Birthing Animals,Was the case exposed to birthing animals within two months of illness onset,PHVS_YesNoUnknown_CDC
Exposure to Unpasteurized Milk,Was the case exposed to unpasteurized milk within two months of illness onset,PHVS_YesNoUnknown_CDC
Milk Animal,"If the case was exposed to unpasteurized milk, what animal was the milk from",PHVS_YesNoUnknown_CDC
