Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action)
AgClinic,For possible E. coli cases: What was the result of specimen testing for Shiga toxin using an antigen-based test (e.g.EIA or lateral flow) at a clinical laboratory?,
AgClinicTestType,Name of antigen-based test used at clinical laboratory,
AgeMnth,Age of case-patient in months if patient is <1yr,
AgeYr,Age of case-patient in years,
AgSphl,For possible E. coli cases: What was the result of specimen testing for Shiga toxin using an antigen-based test (e.g.EIA or lateral flow) at a state public health laboratory?  ,
AgSphlTestType,Name of antigen-based test used at state public health laboratory,
BioId                                            ,Was the pathogen identified by culture?,
BloodyDiarr,Did the case-patient have bloody diarrhea (self reported) during this illness?,
Diarrhea,Did the case-patient have diarrhea (self-reported) during this illness?,
DtAdmit2,Date of hospital admission for second hospitalization for this illness,
DtDisch2,Date of hospital discharge for second hospitalization for this illness,
DtEntered,Date case was entered into site's database,
DtRcvd,Date case-pateint's specimen was received in laboratory for initial testing,
DtRptComp,Date case report form was completed,
DtSpec,Case-patient's specimen collection date,
DtUSDepart,"If case-patient patient traveled internationally, date of departure from the U.S.",
DtUSReturn,"If case-patient traveled internationally, date of return to the U.S.",
EforsNum,CDC FDOSS outbreak ID number,
Fever,Did the case-patient have fever (self-reported) during this illness?,
HospTrans,"If case-patient was hospitalized, was s/he transferred to another hospital?",
HUS,Did case patient have a diagnosis of HUS?,
Immigrate,Did case-patient immigrate to the U.S.? (within 7 days of illness onset),
Interview,Was the case-patient interviewed by public health (i.e. state or local health department) ?,
LabName,Name of submitting laboratory,
LocalID,Ccase-patient's medical record number,
OtherCdcTest,What was the result of specimen testing for Shiga toxin using another test at the CDC? ,
OtherClinicTest,What was the result of specimen testing for Shiga toxin using another test at a clinical laboratory,
OtherClinicTestType,Name of other test used at a clinical laboratory,
OtherSphlTest,What was the result of specimen testing for Shiga toxin using another test at a state public health laboratory? ,
OtherSphlTestType,Name of other test used at a state public health laboratory,
OutbrkType,Type of outbreak that the case-patient was part of,
PatID,Case-patient identification number ,
PcrCdc,What was the result of specimen testing for Shiga toxin using PCR at CDC? ,
PcrClinic,What was the result of specimen testing for Shiga toxin using PCR at a clincal laboratory? ,
PcrClinicTestType,Name of PCR assay used,
PcrSphl,What was the result of specimen testing for Shiga toxin using PCR at a state public health laboratory? ,
PersonID,Unique identification number for person or patient,
ResultID,Unique identifier for laboratory result,
RptComp,Is all of the information for this case complete?,
SentCDC,Was specimen or isolate forwarded to CDC for testing or confirmation?,
SLabsID,State lab identification number,
SpecSite,Case patient's specimen collection source ,
StecH7,Was it H7 antigen positive?,
StecHAg,What was the H-antigen number?,
StecNM,Was the isolate non-motile?,
StecO157,Was it O157 positive?,
StecOAg,What was the O-antigen number?,
StecStx,Was E. coli Shiga toxin-producing?,
StLabRcvd,"Was the isolate sent to a state public health laboratory? (Answer 'Yes' if it was sent to any state lab, even if it was sent to a lab outside of the case's state of residence)",
TravelDest,"If case-patient traveled internationally, to where did they travel?",
TravelInt,Did the case patient travel internationally? (within 7 days of onset),
PulseNet Key,Identification tag in PulseNet database,
Date of interview,Date questionnaire administered to case,
Respondent,Individual who was interviewed,Self; Parent; Spouse; Other
Other Respondent,"If case, parent, or spouse not interviewed, then who was?",
City of residence,City where patient resides,
Month of birth,Month when patient was born,2013-01-12 00:00:00
Year of birth,Year when patient was born,
Hispanic or Latino,Is the patient of Hispanic or Latino origin,Hispanic; Non-Hispanic; Unknown
Total days ill,Length of patient's illness in days,
Still ill,Is the patient still ill,Yes; No
Diarrhea,Patient experienced 3 or more loose stools in 24-hour period,Yes; No; Maybe; Unknown
Diarrhea onset,Date patient first expierenced 3 or more loose stools,
Bloody stool,Patient experienced blood in stool,Yes; No; Maybe; Unknown
Still hospitalized,Is the patient still hospitalizaed,Yes; No
HUS,Patient diagnosed by doctor with HUS or kidney failure,Yes; No; Maybe; Unknown
Food handler,Patient works as a food handler at dining establishment,Yes; No; Maybe; Unknown
Daycare worker,Patient works in a daycare facility,Yes; No; Maybe; Unknown
Foods at home,List of locations where foods eaten at home were purchased,
Foods away from home,List of locations where foods were eaten outside of the home,
Handled raw ground beef,Patient handled raw ground beed (even if not consumed) in 7 days prior to illness onset,Yes; No; Maybe; Unknown
Ground beef,Patient consumed ground beef in 7 days prior to illness onset,Yes; No; Maybe; Unknown
Ground beef at home,Patient consumed ground beef at home in 7 days prior to illness onset,Yes; No; Maybe; Unknown
Pink ground beef at home,Patient consumed red or pink ground beef at home in 7 days prior to illness onset,Yes; No; Maybe; Unknown
Ground beef at home purchase location,Location(s) where ground beef consumed at home in 7 days prior to illness onset was purchased,
Ground beef at home purchase date,Date(s) when ground beef consumed at home in 7 days prior to illness onset was purchased,
Ground beef brand,Brand(s) of ground beef eaten at home in 7 days prior to illness onset,
Ground beef bulk,Ground beef eaten at home was purchased in bulk,Yes; No
Ground beef patties,Ground beef eaten at home was purchased in pre-formed patties,Yes; No
Ground beef other,Ground beef eaten at home was purchased in other form,Yes; No
Ground beef unknown purchase form,Patient unable to recall form in which ground beef eaten at home was purchased,Yes; No
Home ground beef size,Size in which ground beef consumed at home was purchased,Number of pounds; Unknown
Percent lean,Percentage lean of ground beef eaten at home,Percentage; Unknown
Fresh ground beef,Ground beef eaten at home was purchased fresh,Yes; No
Frozen ground beef,Ground beef eaten at home was purchased frozen,Yes; No
Unknown fresh/frozen ground beef,Patient unable to recall if ground beef consumed at home was purchased fresh or frozen,Yes; No
Ground beef away from home,Patient consumed ground beef away from home in 7 days prior to illness onset,Yes; No; Maybe; Unknown
Gound beef away from home location,Location(s) where ground beef consumed away from home,
Pink ground beef away,Patient consumed red or pink ground beef away from home,Yes; No; Maybe; Unknown
Hamburger,Ground beef eaten outside the home as hamburger,Yes; No
Meatball,Ground beef eaten outside the home as meatball,Yes; No
Meatloaf,Ground beef eaten outside the home as meatloaf,Yes; No
Taco,Ground beef eaten outside the home in a taco,Yes; No
Ground beef in a dish,Ground beef eaten in a dish (ex. casserole) outside the home,Yes; No
Other form of ground beef outside home,"Ground beef eaten outside the home in form other than hamburger, meatball, meatloaf, taco, or in a dish",Yes; No
Specify other form of ground beef,Other type of ground beef eaten outside the home,
Steak,Patient consumed steak in 7 days prior to illness onset,Yes; No; Maybe; Unknown
Steak at home,Patient consumed steak at home in 7 days prior to illness onset,Yes; No; Maybe; Unknown
Pink steak at home,Steak consumed at home was pink or read,Yes; No; Maybe; Unknown
Steak at home purchase location,Location(s) where steak consumed at home was purchased,
Steak at home purchase date,Date(s) when steak consumed at home was purchased,
Steak brand,Brand(s) of steak eaten at home,
Steak consumed as steak,Steak was consumed as steak,Yes; No
Steak consumed as stew,Steak was consumed in a stew,Yes; No
Steak consumed as roast,Steak was consumed as a roast,Yes; No
Unknown steak type,Patient unable to recall how steak was consumed,Yes; No
Steak consumed as other,"Steak was consumed in form other than steak, stew, roast",Yes; No
Specify how steak was consumed,"If steak was consumed in other form, then specify",
Steak away from home,Patient consumed steak away from home in 7 days prior to illness onset,Yes; No; Maybe; Unknown
Steak away from home location,Location(s) where steak was consumed away from home,
Steak away from home dates,Date(s) when steak was consumed away from home,
Pink steak away,Patient consumed red or pink steak away from home,Yes; No; Maybe; Unknown
Pink steak away as steak,Patient consumed red or pink steak away from home as steak,Yes; No
Pink steak away as stew,Patient consumed red or pink steak away from home as stew,Yes; No
Pink steak away as roast,Patient consumed red or pink steak away from home as a roast,Yes; No
Pink steak away as other product,"Patient consumed red or pink steak away from home in form other than steak, stew, or roast",Yes; No
Specify how other pink steak was consumed,Specify if 'Other' red or pink steak was reported,
Bison,Patient consumed bison in the 7 days prior to illness onset,Yes; No; Maybe; Unknown
Bison at home,Patient consumed bison at home in the 7 days prior to illness onset,Yes; No; Maybe; Unknown
Pink bison at home,Patient consumed red or pink bison at home,Yes; No; Maybe; Unknown
Bison purchase location,Location(s) where ground beef consumed at home was purchased,
Bison purchase date,Date(s) when bison consumed at home was purchased,
Bison at home brand,Brand of bison purchased for home consumption,
Bison away from home,Patient consumed bison away from home in 7 days prior to illness onset,Yes; No; Maybe; Unknown
Bison away location,Location(s) where bison was consumed outside the home,
Bison away date,Date(s) when bison was consumed outside the home,
Pink bison away from home,Bison eaten outside the home was red or pink,Yes; No; Maybe; Unknown
