Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action)
AgClinic,What was the result of specimen testing using an antigen-based  test (e.g. EIA or lateral flow) at a clinical laboratory?  ,
AgClinicTestType,Name of antigen-based test used at clinical laboratory,
AgeMnth,Age of case-patient in months if patient is <1yr,
AgeYr,Age of case-patient in years,
AgSphl,What was the result of specimen testing using an antigen-based  test (e.g. EIA or lateral flow) at a state public health laboratory? ,
AgSphlTestType,Name of antigen-based test used at state public health laboratory,
BioId                                            ,Was the pathogen identified by culture?,
BloodyDiarr,Did the case-patient have bloody diarrhea (self reported) during this illness?,
Diarrhea,Did the case-patient have diarrhea (self-reported) during this illness?,
DtAdmit2,Date of hospital admission for second hospitalization for this illness,
DtDisch2,Date of hospital discharge for second hospitalization for this illness,
DtEntered,Date case was entered into site's database,
DtRcvd,Date case-pateint's specimen was received in laboratory for initial testing,
DtRptComp,Date case report form was completed,
DtSpec,Case-patient's specimen collection date,
DtUSDepart,"If case-patient patient traveled internationally, date of departure from the U.S.",
DtUSReturn,"If case-patient traveled internationally, date of return to the U.S.",
EforsNum,CDC FDOSS outbreak ID number,
Fever,Did the case-patient have fever (self-reported) during this illness?,
HospTrans,"If case-patient was hospitalized, was s/he transferred to another hospital?",
Immigrate,Did case-patient immigrate to the U.S.? (within 7 days of illness onset),
Interview,Was the case-patient interviewed by public health (i.e. state or local health department) ?,
LabName,Name of submitting laboratory,
LocalID,Ccase-patient's medical record number,
OtherCdcTest,What was the result of specimen testing using another test at CDC?   ,
OtherClinicTest,What was the result of specimen testing using another test at a clinical laboratory?  ,
OtherClinicTestType,Name of other test used at a clinical laboratory,
OtherSphlTest,What was the result of specimen testing using another test at a state public health laboratory?   ,
OtherSphlTestType,Name of other test used at a state public health laboratory,
OutbrkType,Type of outbreak that the case-patient was part of,
PatID,Case-patient identification number ,
PcrCdc,What was the result of specimen testing for diagnosis using PCR at CDC? (Do not enter PCR results if PCR was performed for speciation or subtyping).,
