Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action),Approved by OMB
Number of lesions in total,"Choose the numeric range within which a count of the patient's lesions falls.  Note that if ""Unknown"" is sent, the HL7 Flavor of Null UNK value is sent. ",PHVS_NumberOfLesions_VZ,
Number of lesions if less than 50,Number of lesions if less than 50,,
Did the patient receive Varicella-containing vaccine,"Indicate whether the patient received varicella-containing vaccine; a value of Yes or No enables other fields in this section, allowing for answers to their questions.",PHVS_YesNoUnknown_CDC,
Reason why patient did not receive Varicella-containing vaccine,"If the value in Did the patient receive varicella-containing vaccine? is No, choose the reason why the patient did not receive the vaccine; if none of the specific choices in the list apply, choose Other.",PHVS_VaccineNotGivenReasons_CDC,
Other reason why patient did not receive Varicella-containing vaccine,"If the value specified in Reason why patient did not receive varicella-containing vaccine is Other, indicate the reason (a reason other than those provided in the list).",,
Number of doses received on or after first birthday,"If the value in Did the patient receive varicella-containing vaccine? is Yes, indicate the number of doses received on or after  the patient's first birthday.",,
Reason patient is >= 6 years old and received one dose on or after 6th birthday but never received second dose,"Reason patient is >= 6 years old and received one dose on or after 6th birthday but never received second dose.  Choose from the list the reason the patient never received the second dose; if none of the specific choices in the list apply, choose Other.""",PHVS_VaccineNotGivenReasons_CDC,
Other reason patient did not receive second dose,"If the value specified in Reason patient is >= 6 years old and received one dose on or after 6th birthday but never received second dose is Other, indicate the reason (a reason other than those provided in the list). ",,
Rash Onset Date,Date on which the physical manifestations of the illness-the rash-appeared,,
Rash Location,The distribution of the rash on the body,PHVS_RashDistribution_VZ,
Dermatome,"If a value of Focal is specified in the Rash Location field, enter the nerve where the rash occurred (lumbar or thoracic, with a number)",,
Location First Noted,"If a value of Generalized is specified for the Rash Location field, choose location where rash was first noted (if any); if none of the specific choices in the list apply, choose Other.",PHVS_RashLocationFirstNoted_VZ,
Other Generalized rash location,"If a value of Other is specified in the Location First Noted, enter the location (i.e., the location where the rash was first noted is other than one of the values provided in the Location First Noted list)",,
Macules Present,"If the value specified in Total Number of Lesions is < 50, indicate whether macules were present.",PHVS_YesNoUnknown_CDC,
Number of Macules,"If the value specified in Macules Present is Yes, indicate how many macules were present.",,
Papules Present,"If the value specified in Total Number of Lesions is < 50, indicate whether papules were present.",PHVS_YesNoUnknown_CDC,
Number of Papules,"If the value specified in Papules Present is Yes, indicate how many papules were present.",,
Vesicles Present,"If the value specified in Total Number of Lesions is < 50, indicate whether vesicles were present.",PHVS_YesNoUnknown_CDC,
Number of Vesicles,"If the value specified in Vesicles Present is Yes, indicate how many vesicles were present.",,
Mostly macular/papular,Indicate whether the lesions were mostly macular/papular.,PHVS_YesNoUnknown_CDC,
Mostly vesicular,Indicate whether the lesions were mostly vesicular.,PHVS_YesNoUnknown_CDC,
Hemorrhagic,Indicate whether the rash was hemorrhagic.,PHVS_YesNoUnknown_CDC,
Itchy,Indicate whether the patient complained of itchiness.,PHVS_YesNoUnknown_CDC,
Scabs,Indicate whether there were scabs.,PHVS_YesNoUnknown_CDC,
Crops/Waves,Indicate whether the lesions appeared in crops or waves.,PHVS_YesNoUnknown_CDC,
Did rash crust,Indicate whether the rash crusted.,PHVS_YesNoUnknown_CDC,
Number of Days until lesions crusted over,"If the value specified in Did the rash crust? is Yes, enter the number of days that transpired for all of the lesions to crust over.",,
Number of Days rash lasted,"If the value specified in Did the rash crust? is No, enter the number of days that the rash was present.",,
Fever,Indicate whether the patient had a fever during the course of the illness.,PHVS_YesNoUnknown_CDC,
Fever Onset Date,"If the value specified in Did patient have fever? is Yes, indicate the date when the fever began.",,
Highest measured temperature,"If the value specified in Did patient have fever? is Yes, indicate the highest temperature that was measured.",,
Temperature Units,Temperature Units (Fahrenheit or Celsius).,PHVS_TemperatureUnit_UCUM,
Fever Duration in Days,"If the value specified in Did patient have fever? is Yes, indicate the number of days for which the patient had a fever.",,
Is patient immunocompromised due to medical condition or treatment,Indicate whether the patient was immunocompromised (anergic).,PHVS_YesNoUnknown_CDC,
Medical Condition or Treatment,"If Yes, indicate the medical condition or treatment associated with the patient being immunocompromised",,
Did patient visit a healthcare provider during this illness,Indicate whether the patient visited a healthcare provider during the course of this illness.,PHVS_YesNoUnknown_CDC,
Did patient develop any complications that were diagnosed by a healthcare provider?,"If the value specified in Did patient visit a healthcare provider during this illness? is Yes, indicate whether the patient developed complications (as described).",PHVS_YesNoUnknown_CDC,
Skin/soft tissue infection,"If the value specified in Did patient develop any complications that were diagnosed by a healthcare provider? is Yes, indicate whether there was skin or soft tissue infection.",PHVS_YesNoUnknown_CDC,
Cerebellitis/ ataxia,"If the value specified in Did patient develop any complications that were diagnosed by a healthcare provider? is Yes, indicate whether there was cerebellitis/ataxia.",PHVS_YesNoUnknown_CDC,
Encephalitis,"If the value specified in Did patient develop any complications that were diagnosed by a healthcare provider? is Yes, indicate whether there was encephalitis.",PHVS_YesNoUnknown_CDC,
Dehydration,"If the value specified in Did patient develop any complications that were diagnosed by a healthcare provider? is Yes, indicate whether the patient was diagnosed as being dehydrated.",PHVS_YesNoUnknown_CDC,
Hemorrhagic condition,"If the value specified in Did patient develop any complications that were diagnosed by a healthcare provider? is Yes, indicate whether there was hemorrhagic condition.",PHVS_YesNoUnknown_CDC,
Pneumonia,"If the value specified in Did patient develop any complications that were diagnosed by a healthcare provider? is Yes, indicate whether pneumonia was a complication.",PHVS_YesNoUnknown_CDC,
