Label/Short Name,Description,Value Set Code. Search in PHIN VADS using the following link (https://phinvads.cdc.gov/vads/SearchHome.action)
AGEMM,Age in months,
AGEYY,Age in years,
CDCNUM,CDC Number,
CITY,City,
COUNTY,County ,
DATECOMP,Date completing form,
DOB,Date of birth,
ETHNICITY,Hispanic or Latino origin?,
FDANUM,FDA Number,
FNAME,First 3 letters of first name,
LNAME,First 3 letters of last name,
OCCUPAT,Occupation,
RACE,Race,
SEX,Sex,
STATE,State of exposure (usually reporting state),
STEPINUM,State Number,
STLABNUM,State Lab Number,
FEVER,Fever,
NAUSEA,Nausea,
VOMIT,Vomiting,
DIARRHEA,Diarrhea,
VISBLOOD,Bloody stool,
CRAMPS,Abdominal cramps,
HEADACHE,Headache,
MUSCPAIN,Muscle Pain,
CELLULIT,Cellulitis,
BULLAE,Bullae,
SHOCK,Shock,
OTHER,Other ,
MAXTEMP,Symptom: Maximum temp of fever,
CENFAR,Fever measured in units of C or F,
NUMSTLS,Symptom: # of stools/24 hours,
CELLSITE,Symptom: Site of cellulitis,
BULLSITE,Symtom: Site of Bullae,
OTHSPEC2,Symptom: Specify other Symptoms,
AMPMSYMP,Seafood Investigation: Onset in am or pm,
ANTIBYN,Did patient receive antibiotics?,
Descant1,Name of 1st Antibiotic ,
Descant2,Name of 2nd Antibiotic ,
Descant3,Name of 3rd Antibiotic ,
ANTNAM01,Name of 1st Antibiotic (old),
ANTNAM02,Name of 2nd Antibiotic (old),
ANTNAM03,Name of 3rd Antibiotic (old),
ANTNAM04,Name of 4th Antibiotic (old),
BEGANT1,Date began Antibiotic #1,
BEGANT2,Date began Antibiotic #2,
BEGANT3,Date began Antibiotic #3,
BEGANT4,Date began Antibiotic #4,
CDCISOL,CDC Isolate No.,
DATEADMN,Date admitted to hospital,
DATEDIED,Date of death,
DATEDISC,Date of discharge from hospital,
DATESYMP,Date of symptom onset,
DURILL,# days ill,
ENDANT1,Date ended Antibiotic #1,
ENDANT2,Date ended Antibiotic #2,
ENDANT3,Date ended Antibiotic #3,
ENDANT4,Date ended Antibiotic #4,
GSURGTYP,Pre-existing: Type of gastric surgery,
HEMOTYPE,Pre-exisiting: Type of hemotological disease,
HHSYMP,Hour of symptom onset,
HOSPYN,Hospitalized?,
IMMTYPE,Pre-exisiting: Type of Immunodeficiency,
LIVTYPE,Pre-exisiting: type of liver disease,
MALTYPE,Pre-existing: Type of Malignancy,
MISYMP,Minute of symptom exposure,
OTHCONSP,Pre-existing: Type of Other condition,
PATDIE,Did patient die?,
PEPULCER,Pre-existing: Peptic ulcer,
ALCOHOL,Pre-existing: Alcoholism,
DIABETES,Pre-existing: Diabetes,
INSULIN,Pre-existing: on insulin?,
GASSURG,Pre-existing: Gastric surgery,
HEART,Pre-existing: Heart disease,
HEARTFAL,Pre-existing: Heart failure?,
HEMOTOL,Pre-existing: Hematologic disease,
IMMUNOD,Pre-existing: Immunodeficiency,
LIVER,Pre-existing: Liver disease,
MALIGN,Pre-existing: Malignancy,
RENAL,Pre-existing: Renal disease,
RENTYPE,Pre-existing: Type of renal disease,
OTHCOND,Pre-existing: Other,
TRTANTI,Type of treatment received: antibiotics,
TRTCHEM,Type of treatment received: chemotherapy,
TRTRADIO,Type of treatment received: radiotherapy,
TRTSTER,Type of treatment received: systemic steroids,
TRTIMMUN,Type of treatment received: immunosuppressants,
TRTACID,Type of treatment received: antacids,
TRTULCER,Type of treatment received: H2 Blocker or other ulcer medication,
SEQDESC,Describe Sequelae,
SEQUELAE,Sequelae?,
TRTACISP,"If previously treated with Antacids, specifiy",
TRTANTSP,"If previously treated with Antibiotics, specifiy",
TRTCHESP,"If previously treated with chemotherapy, specifiy",
TRTIMMSP,"If previously treated with immunosuppressants, specifiy",
TRTRADSP,"If previously treated with radiotherapy, specifiy",
TRTSTESP,"If previously treated with steroids, specifiy",
TRTULCSP,"If treated with ulcer meds, specifiy",
DATESPEC,Date specimen collected ,
SPECIESNAME,Species,
SITE,"If other source, specify site from which Vibrio was isolated ",
STATECON,Was Species confirmed at State PH Lab?,
SOURCE,Specimen source,
OTHORGAN,Other organism isolated from specimen?,
SPECORGAN,Specify other organism isolated,
AMBTEMFC,Seafood Investigation: Maximum ambient temp units - F or C,
AMNTCONS,Seafood Investigation: Amount of shellfish consumed,
