Date/Time Created	VADS Content Version	VADS Application Version	Download Activity	Number of Items Selected
11/02/2016 01:34:40	3.0.0	3.1.1	Value Set Concept Detail Result Selection	62 of 62

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code	Value Set Code	Value Set Version
81154-7	DENV + CHIKV + ZIKV Pnl Patient PCR	Dengue and Chikungunya and Zika virus panel by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Dengue	8
81151-3	DENV 1+2+3+4 5' UTR RNA CSF Ql PCR	Dengue virus 1+2+3+4 5' UTR RNA [Presence] in Cerebral spinal fluid by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Dengue	8
81150-5	DENV 1+2+3+4 5' UTR RNA Ser Ql PCR	Dengue virus 1+2+3+4 5' UTR RNA [Presence] in Serum by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Dengue	8
77958-7	DENV 1+2+3+4 RNA CSF Ql PCR	Dengue virus 1 and 2 and 3 and 4 RNA [Presence] in Cerebral spinal fluid by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Dengue	8
16740-3	DENV Ab Ser Ql	Dengue virus Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Dengue	8
40748-6	DENV Ab Ser Ql HAI	Dengue virus Ab [Presence] in Serum by Hemagglutination inhibition		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Dengue	8
7859-2	DENV Ab Ser-aCnc	Dengue virus Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Dengue	8
33606-5	DENV Ab Titr Ser	Dengue virus Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Dengue	8
40515-9	DENV Ab Titr Ser CF	Dengue virus Ab [Titer] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Dengue	8
55369-3	DENV Ab Titr Ser HAI	Dengue virus Ab [Titer] in Serum by Hemagglutination inhibition		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Dengue	8
33578-6	DENV Ab Titr Ser IF	Dengue virus Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Dengue	8
55438-6	DENV Ab Titr Ser Nt	Dengue virus Ab [Titer] in Serum by Neutralization test		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Dengue	8
31343-7	DENV Ab XXX Ql	Dengue virus Ab [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Dengue	8
50036-3	DENV Ab XXX Ql Nt	Dengue virus Ab [Presence] in Unspecified specimen by Neutralization test		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Dengue	8
