Date/Time Created	VADS Content Version	VADS Application Version	Download Activity	Number of Items Selected
11/02/2016 01:36:14	3.0.0	3.1.1	Value Set Concept Detail Result Selection	20 of 20

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code	Value Set Code	Value Set Version
81154-7	DENV + CHIKV + ZIKV Pnl Patient PCR	Dengue and Chikungunya and Zika virus panel by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
82464-9	Mosquito count Environ spec	Mosquito count [#] in Environmental specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
82465-6	Mosquito Environ spec	Mosquito identified [Type] in Environmental specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
81149-7	Zika E gene Amn Ql PCR	Zika virus envelope (E) gene [Presence] in Amniotic fluid by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
80826-1	Zika E gene CSF Ql PCR	Zika virus envelope (E) gene [Presence] in Cerebral spinal fluid by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
80825-3	Zika E gene Ser Ql PCR	Zika virus envelope (E) gene [Presence] in Serum by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
81148-9	Zika E gene Ur Ql PCR	Zika virus envelope (E) gene [Presence] in Urine by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
80618-2	ZIKV IgM CSF EIA-aCnc	Zika virus IgM Ab [Units/volume] in Cerebral spinal fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
80823-8	ZIKV IgM CSF Ql EIA	Zika virus IgM Ab [Presence] in Cerebral spinal fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
80619-0	ZIKV IgM Ser EIA-aCnc	Zika virus IgM Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
80824-6	ZIKV IgM Ser Ql EIA	Zika virus IgM Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
80821-2	ZIKV NAb CSF Ql Nt	Zika virus neutralizing antibody [Presence] in Cerebral spinal fluid by Neutralization test		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
80822-0	ZIKV NAb Ser Ql Nt	Zika virus neutralizing antibody [Presence] in Serum by Neutralization test		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
80624-0	ZIKV NAb sp1 Titr CSF Nt	Zika virus neutralizing antibody [Titer] in Cerebral spinal fluid by Neutralization test --1st specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
80622-4	ZIKV NAb sp1 Titr Ser Nt	Zika virus neutralizing antibody [Titer] in Serum by Neutralization test --1st specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
80625-7	ZIKV NAb sp2 Titr CSF Nt	Zika virus neutralizing antibody [Titer] in Cerebral spinal fluid by Neutralization test --2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
80623-2	ZIKV NAb sp2 Titr Ser Nt	Zika virus neutralizing antibody [Titer] in Serum by Neutralization test --2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
80621-6	ZIKV NAb Titr CSF Nt	Zika virus neutralizing antibody [Titer] in Cerebral spinal fluid by Neutralization test		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
80620-8	ZIKV NAb Titr Ser Nt	Zika virus neutralizing antibody [Titer] in Serum by Neutralization test		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
79190-5	ZIKV RNA XXX Ql PCR	Zika virus RNA [Presence] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_ZikaVirus	3
