Concept Code,Concept Name,Preferred Concept Name,Preferred Alternate Code,Code System OID,Code System Name,Code System Code,Code System Version,HL7 Table 0396 Code,Value Set Code,Value Set Version
329923004,Aceclofenac (product),Aceclofenac,C-6030D,2.16.840.1.113883.6.96,SNOMED-CT,PH_SNOMED-CT,20160901.0,SCT,PHVS_DrugDiseaseInteraction_Dengue,1
329925006,Aceclofenac 100mg tablet (product),Aceclofenac 100mg tablet,C-502DD,2.16.840.1.113883.6.96,SNOMED-CT,PH_SNOMED-CT,20160901.0,SCT,PHVS_DrugDiseaseInteraction_Dengue,1
329906008,Acemetacin (product),Acemetacin,C-6030B,2.16.840.1.113883.6.96,SNOMED-CT,PH_SNOMED-CT,20160901.0,SCT,PHVS_DrugDiseaseInteraction_Dengue,1
329907004,Acemetacin 60mg capsule (product),Acemetacin 60mg capsule,C-502D2,2.16.840.1.113883.6.96,SNOMED-CT,PH_SNOMED-CT,20160901.0,SCT,PHVS_DrugDiseaseInteraction_Dengue,1
400314006,Acetaminophen + phenyltoloxamine citrate + salicylamide (product),Acetaminophen + phenyltoloxamine citrate + salicylamide,C-50108,2.16.840.1.113883.6.96,SNOMED-CT,PH_SNOMED-CT,20160901.0,SCT,PHVS_DrugDiseaseInteraction_Dengue,1
377381003,Acetaminophen + phenyltoloxamine citrate + salicylamide 300mg/20mg/200mg capsule (product),Acetaminophen + phenyltoloxamine citrate + salicylamide 300mg/20mg/200mg capsule,C-50045,2.16.840.1.113883.6.96,SNOMED-CT,PH_SNOMED-CT,20160901.0,SCT,PHVS_DrugDiseaseInteraction_Dengue,1
377391009,Acetaminophen + phenyltoloxamine citrate + salicylamide 300mg/20mg/200mg tablet (product),Acetaminophen + phenyltoloxamine citrate + salicylamide 300mg/20mg/200mg tablet,C-51493,2.16.840.1.113883.6.96,SNOMED-CT,PH_SNOMED-CT,20160901.0,SCT,PHVS_DrugDiseaseInteraction_Dengue,1
398663003,Acetaminophen + salicylamide (product),Acetaminophen + salicylamide,C-6013E,2.16.840.1.113883.6.96,SNOMED-CT,PH_SNOMED-CT,20160901.0,SCT,PHVS_DrugDiseaseInteraction_Dengue,1
412559002,Acetaminophen + salicylamide + caffeine (product),Acetaminophen + salicylamide + caffeine,C-6556C,2.16.840.1.113883.6.96,SNOMED-CT,PH_SNOMED-CT,20160901.0,SCT,PHVS_DrugDiseaseInteraction_Dengue,1
377440005,Acetaminophen + salicylamide 250mg/600mg tablet (product),Acetaminophen + salicylamide 250mg/600mg tablet,C-50048,2.16.840.1.113883.6.96,SNOMED-CT,PH_SNOMED-CT,20160901.0,SCT,PHVS_DrugDiseaseInteraction_Dengue,1
424102008,Acetaminophen+aspirin (product),Acetaminophen+aspirin,C-6036E,2.16.840.1.113883.6.96,SNOMED-CT,PH_SNOMED-CT,20160901.0,SCT,PHVS_DrugDiseaseInteraction_Dengue,1
398785002,Acetaminophen+sodium salicylate (product),Acetaminophen+sodium salicylate,C-6013D,2.16.840.1.113883.6.96,SNOMED-CT,PH_SNOMED-CT,20160901.0,SCT,PHVS_DrugDiseaseInteraction_Dengue,1
329543000,Apazone (product),Apazone (product),C-60307,2.16.840.1.113883.6.96,SNOMED-CT,PH_SNOMED-CT,20160901.0,SCT,PHVS_DrugDiseaseInteraction_Dengue,1
329546008,Apazone 300mg capsule (product),Apazone 300mg capsule (product),C-50277,2.16.840.1.113883.6.96,SNOMED-CT,PH_SNOMED-CT,20160901.0,SCT,PHVS_DrugDiseaseInteraction_Dengue,1
329547004,Apazone 600mg tablet (product),Apazone 600mg tablet (product),C-50278,2.16.840.1.113883.6.96,SNOMED-CT,PH_SNOMED-CT,20160901.0,SCT,PHVS_DrugDiseaseInteraction_Dengue,1
