Date/Time Created	VADS Content Version	VADS Application Version	Download Activity	Number of Items Selected
11/02/2016 01:35:36	3.0.0	3.1.1	Value Set Concept Detail Result Selection	27 of 27

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code	Value Set Code	Value Set Version
51663-3	Alphavirus RNA XXX Ql PCR	Alphavirus RNA [Presence] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
44074-3	Arbovirus Ab Ser IF-Imp	Arbovirus Ab [interpretation] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
36899-3	Arbovirus Ab XXX	Arbovirus Ab [Identifier] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
36895-1	Arbovirus Ab XXX IF	Arbovirus Ab [Identifier] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
50034-8	Arbovirus Ab XXX Nt	Arbovirus Ab [Identifier] in Unspecified specimen by Neutralization test		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
6309-9	Arbovirus Bld Cult	Arbovirus identified in Blood by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
53804-1	Arbovirus IgG Pnl Ser IF	Arbovirus Ab.IgG panel in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
53802-5	Arbovirus IgG Ser IF-Imp	Arbovirus IgG Ab [interpretation] in Serum by Immunofluorescence Narrative		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
43905-9	Arbovirus IgG Ser Ql	Arbovirus IgG Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
49094-6	Arbovirus IgG+IgM Pnl CSF IF	Arbovirus IgG & IgM panel in Cerebral spinal fluid by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
49093-8	Arbovirus IgG+IgM Pnl Ser IF	Arbovirus IgG & IgM panel in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
74032-4	Arbovirus IgM pnl Ser	Arbovirus IgM panel - Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
40584-5	Arbovirus IgM Ser Ql	Arbovirus IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
74033-2	Arbovirus IgM Ser Ql IF	Arbovirus IgM Ab [Presence] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
31223-1	Arbovirus NOS Ab Ser-aCnc	Arbovirus NOS Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
43092-6	Arbovirus NOS Ab Titr Ser	Arbovirus NOS Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
26014-1	Arbovirus NOS Ab Titr Ser CF	Arbovirus NOS Ab [Titer] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
74031-6	Arbovirus Ser IF	Arbovirus identified in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
6310-7	Arbovirus XXX Cult	Arbovirus identified in Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Arbovirus	4
