Date/Time Created	VADS Content Version	VADS Application Version	Download Activity	Number of Items Selected
11/02/2016 01:35:10	3.0.0	3.1.1	Value Set Concept Detail Result Selection	17 of 17

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code	Value Set Code	Value Set Version
26623-9	CHIKV Ab Ser Ql	Chikungunya virus Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Chikungunya	3
74821-0	CHIKV Ab Ser Ql HAI	Chikungunya virus Ab [Presence] in Serum by Hemagglutination inhibition		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Chikungunya	3
43064-5	CHIKV Ab Titr Ser	Chikungunya virus Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Chikungunya	3
40505-0	CHIKV Ab Titr Ser HAI	Chikungunya virus Ab [Titer] in Serum by Hemagglutination inhibition		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Chikungunya	3
82297-3	CHIKV E1+E2 IgG Ser Ql IA	Chikungunya virus structural proteins (E1+E2) IgG Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Chikungunya	3
56129-0	CHIKV IgG SerPl Ql IF	Chikungunya virus IgG Ab [Presence] in Serum or Plasma by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Chikungunya	3
56128-2	CHIKV IgG Titr SerPl IF	Chikungunya virus IgG Ab [Titer] in Serum or Plasma by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Chikungunya	3
57934-2	CHIKV IgM Ser Ql	Chikungunya virus IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Chikungunya	3
56131-6	CHIKV IgM SerPl Ql IF	Chikungunya virus IgM Ab [Presence] in Serum or Plasma by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Chikungunya	3
56130-8	CHIKV IgM Titr SerPl IF	Chikungunya virus IgM Ab [Titer] in Serum or Plasma by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Chikungunya	3
81153-9	CHIKV nsP1 RNA CSF Ql PCR	Chikungunya virus non-structural protein 1 (nsP1) RNA [Presence] in Cerebral spinal fluid by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Chikungunya	3
81152-1	CHIKV nsP1 RNA Ser Ql PCR	Chikungunya virus non-structural protein 1 (nsP1) RNA [Presence] in Serum by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Chikungunya	3
60260-7	CHIKV RNA SerPl Ql PCR	Chikungunya virus RNA [Presence] in Serum or Plasma by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Chikungunya	3
51664-1	CHIKV RNA XXX Ql PCR	Chikungunya virus RNA [Presence] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Chikungunya	3
81154-7	DENV + CHIKV + ZIKV Pnl Patient PCR	Dengue and Chikungunya and Zika virus panel by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Chikungunya	3
82464-9	Mosquito count Environ spec	Mosquito count [#] in Environmental specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Chikungunya	3
82465-6	Mosquito Environ spec	Mosquito identified [Type] in Environmental specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.56	LN	PHVS_LabTestName_Chikungunya	3
